# ln(x) precompute for all valid bfloat16 inputs (MPFR 4.2.1)
# decomposition: i1=u>>7 (exp field), i2=u&0x7f (mantissa)
# x = x1*x2, x1=2^(i1-127), x2=1+i2/128; ln(x)=T1[i1]+T2[i2]
# work precision = 200 bits, bf16 significand = 8 bits, RNDN
# columns: u,i1,i2,subnormal,x_hex,lnx_exact_hex,y_hex,y_bits
0,0,0,1,0x0p+0,-inf,-inf,0xFF80
147,1,19,0,0x4.98p-128,-0x5.732b9764ee54ea23b52099306bbc6ebca67e20357343d97c3p+4,-0x5.7p+4,0xC2AE
148,1,20,0,0x4.ap-128,-0x5.730fd260904339bf5525982ce03a09937fbf205dce8ffaebc8p+4,-0x5.7p+4,0xC2AE
149,1,21,0,0x4.a8p-128,-0x5.72f43d3b906fefa15c2e4da158f163bc004943245149977ca8p+4,-0x5.7p+4,0xC2AE
150,1,22,0,0x4.bp-128,-0x5.72d8d751fad23a5bdb65fc2e0f55951bf2cc17b77711f0572p+4,-0x5.7p+4,0xC2AE
151,1,23,0,0x4.b8p-128,-0x5.72bda003200b57347960eb70a5b621c8a5ef3a263dc8137528p+4,-0x5.7p+4,0xC2AE
152,1,24,0,0x4.cp-128,-0x5.72a296b17f4f63afc764e50c3af4df445225e99966935c438p+4,-0x5.7p+4,0xC2AE
153,1,25,0,0x4.c8p-128,-0x5.7287bac2b1079a972b525ac387d5ddc4b6b250378d97d8b7b8p+4,-0x5.7p+4,0xC2AE
154,1,26,0,0x4.dp-128,-0x5.726d0b9f5226bd055973c09fde5855db1fb91e33b651353bbp+4,-0x5.7p+4,0xC2AE
155,1,27,0,0x4.d8p-128,-0x5.725288b2f028bc16d1e0061d65e66749ca0b656347bdaebc78p+4,-0x5.7p+4,0xC2AE
156,1,28,0,0x4.ep-128,-0x5.7238316bf5b7079a0dbb17a6080687df556fc391cf5b34123p+4,-0x5.7p+4,0xC2AE
157,1,29,0,0x4.e8p-128,-0x5.721e053b97eb31c5aefef03dcbe7d1a7a144e31d6016ce6e98p+4,-0x5.7p+4,0xC2AE
158,1,30,0,0x4.fp-128,-0x5.72040395c429dfcdbc152326257a9d2da8e025346921d091f8p+4,-0x5.7p+4,0xC2AE
159,1,31,0,0x4.f8p-128,-0x5.71ea2bf10e90436396a7552b5b441a67c7001c4135f8ed036p+4,-0x5.7p+4,0xC2AE
160,1,32,0,0x5p-128,-0x5.71d07dc6a0ee99f35126226ebf22225ac30552278557be8b88p+4,-0x5.7p+4,0xC2AE
161,1,33,0,0x5.08p-128,-0x5.71b6f8922a4a6bfd63bf798df8794885e907dfa2ccac0353cp+4,-0x5.7p+4,0xC2AE
